"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 21:00:05 EDT 2024","Sun Jul 07 21:00:10 EDT 2024","5110","chromium","tests\usePageObjects.spec.ts","","","","navigate to form page @smoke @regression",""
"passed","Sun Jul 07 21:00:11 EDT 2024","Sun Jul 07 21:00:15 EDT 2024","4362","chromium","tests\usePageObjects.spec.ts","","","","paramaterized methods @smoke",""
